,Metric,Value
0,Accuracy,99.82456140350877
1,Precision,98.33333333333333
2,Sensitivity,98.33333333333333
3,Specificity,99.9074074074074
4,F_measure,98.33333333333333
5,Mcc,98.24074074074073
6,Npv,99.9074074074074
7,Fpr,0.0925925925925926
8,fnr,1.6666666666666667
